instance,mazesize,sample,depth,terminated
minimax_s11_num0,11,0.10085670000000135,3,False
minimax_s11_num0,11,0.2004412000000002,3,False
minimax_s11_num0,11,0.30017499999999586,3,False
minimax_s11_num0,11,0.40044989999999814,3,False
minimax_s11_num0,11,0.5004485999999986,3,False
minimax_s11_num0,11,0.6001781999999949,3,False
minimax_s11_num0,11,0.7004808000000011,3,False
minimax_s11_num0,11,0.8004753999999963,3,False
minimax_s11_num0,11,0.9001772999999957,3,False
minimax_s11_num0,11,1.0004804000000007,3,False
minimax_s11_num0,11,1.100451899999996,3,False
minimax_s11_num0,11,1.2001741999999993,3,False
minimax_s11_num0,11,1.3004523999999975,3,False
minimax_s11_num0,11,1.4004509999999968,3,False
minimax_s11_num0,11,1.5001709999999946,3,False
minimax_s11_num0,11,1.6004408999999953,3,False
minimax_s11_num0,11,1.7004293999999973,3,False
minimax_s11_num0,11,1.8001458999999969,3,False
minimax_s11_num0,11,1.9004207999999991,3,False
minimax_s11_num0,11,2.0004391000000012,3,False
minimax_s11_num0,11,2.100424699999998,3,False
minimax_s11_num0,11,2.2001576999999983,3,False
minimax_s11_num0,11,2.300438100000001,3,False
minimax_s11_num0,11,2.400447199999995,3,False
minimax_s11_num0,11,2.5004419999999996,3,False
minimax_s11_num0,11,2.6001537,3,False
minimax_s11_num0,11,2.7004188000000013,3,False
minimax_s11_num0,11,2.8004352999999966,3,False
minimax_s11_num0,11,2.900441899999997,3,False
minimax_s11_num0,11,3.000452799999998,3,False
minimax_s11_num0,11,3.1004409999999964,3,False
minimax_s11_num0,11,3.2001569999999973,3,False
minimax_s11_num0,11,3.3004160999999996,3,False
minimax_s11_num0,11,3.4004507000000004,3,False
minimax_s11_num0,11,3.5003975999999994,3,False
minimax_s11_num0,11,3.600152999999999,3,False
minimax_s11_num0,11,3.7004519999999985,3,False
minimax_s11_num0,11,3.8004569000000004,3,False
minimax_s11_num0,11,3.900460299999999,3,False
minimax_s11_num0,11,4.000499300000001,3,False
minimax_s11_num0,11,4.100451999999997,3,False
minimax_s11_num0,11,4.200187100000001,3,False
minimax_s11_num0,11,4.300437799999997,3,False
minimax_s11_num0,11,4.400461899999996,3,False
