,instance,mazesize,time_depth_1,time_depth_2,time_depth_3
146,minimax_s13_num50,13,,0.1,
147,minimax_s13_num51,13,,0.1,0.6
148,minimax_s13_num52,13,,0.1,4.3
149,minimax_s13_num53,13,,0.1,
150,minimax_s13_num54,13,,0.1,6.7
151,minimax_s13_num55,13,0.1,0.2,
152,minimax_s13_num56,13,,0.1,0.5
153,minimax_s13_num57,13,,0.1,5.3
154,minimax_s13_num58,13,,0.1,3.9
155,minimax_s13_num59,13,,0.1,4.8
156,minimax_s13_num6,13,,0.1,
157,minimax_s13_num60,13,,0.1,
158,minimax_s13_num61,13,,0.1,
159,minimax_s13_num62,13,,0.1,0.5
160,minimax_s13_num63,13,,0.1,
161,minimax_s13_num64,13,,0.1,
162,minimax_s13_num65,13,,0.1,1.4
163,minimax_s13_num66,13,,0.1,6.2
164,minimax_s13_num67,13,,0.1,
165,minimax_s13_num68,13,0.1,0.2,
166,minimax_s13_num69,13,,0.1,1.9
167,minimax_s13_num7,13,,0.1,
168,minimax_s13_num70,13,,0.1,9.5
169,minimax_s13_num71,13,,0.1,
170,minimax_s13_num72,13,,0.1,
171,minimax_s13_num73,13,,0.1,
172,minimax_s13_num74,13,,0.1,
173,minimax_s13_num75,13,,0.1,
174,minimax_s13_num76,13,,0.1,
175,minimax_s13_num77,13,,0.1,6.1
176,minimax_s13_num78,13,,0.1,7.2
177,minimax_s13_num79,13,,0.1,
178,minimax_s13_num8,13,,0.1,1.2
179,minimax_s13_num80,13,,0.1,0.3
180,minimax_s13_num81,13,,0.1,
181,minimax_s13_num82,13,,0.1,3.8
182,minimax_s13_num83,13,,0.1,1.9
183,minimax_s13_num84,13,,0.1,7.3
184,minimax_s13_num85,13,,0.1,2.4
185,minimax_s13_num86,13,,0.1,2.6
186,minimax_s13_num87,13,,0.1,4.6
187,minimax_s13_num88,13,,0.1,
188,minimax_s13_num89,13,,0.1,4.2
189,minimax_s13_num9,13,,0.1,
190,minimax_s13_num90,13,,0.1,
191,minimax_s13_num91,13,,0.1,
192,minimax_s13_num92,13,,0.1,
193,minimax_s13_num93,13,,0.1,
194,minimax_s13_num94,13,,0.1,2.3
195,minimax_s13_num95,13,,0.1,0.7
196,minimax_s13_num96,13,,0.1,
197,minimax_s13_num97,13,,0.1,
198,minimax_s13_num98,13,,0.1,4.9
199,minimax_s13_num99,13,,0.1,
200,minimax_s7_num0,7,,0.1,0.8
201,minimax_s7_num1,7,,0.1,
202,minimax_s7_num10,7,,0.1,0.5
203,minimax_s7_num11,7,,0.1,1.1
204,minimax_s7_num12,7,,0.1,6.9
205,minimax_s7_num13,7,,0.1,0.4
206,minimax_s7_num14,7,,0.1,0.5
207,minimax_s7_num15,7,,0.1,3.3
208,minimax_s7_num16,7,,0.1,0.4
209,minimax_s7_num17,7,,0.1,0.2
210,minimax_s7_num18,7,,0.1,9.1
211,minimax_s7_num19,7,,0.1,4.1
212,minimax_s7_num2,7,,0.1,0.5
213,minimax_s7_num20,7,,0.1,0.4
214,minimax_s7_num21,7,,0.1,0.8
215,minimax_s7_num22,7,,0.1,0.3
216,minimax_s7_num23,7,,0.1,7.0
217,minimax_s7_num24,7,,0.1,0.4
218,minimax_s7_num25,7,,0.1,0.5
219,minimax_s7_num26,7,,0.1,1.8
220,minimax_s7_num27,7,,0.1,1.0
221,minimax_s7_num28,7,,0.1,1.2
222,minimax_s7_num29,7,,0.1,0.7
223,minimax_s7_num3,7,,0.1,1.9
224,minimax_s7_num30,7,,0.1,0.4
225,minimax_s7_num31,7,,0.1,0.9
226,minimax_s7_num32,7,,0.1,0.2
227,minimax_s7_num33,7,,0.1,
228,minimax_s7_num34,7,,0.1,2.1
229,minimax_s7_num35,7,,0.1,1.2
230,minimax_s7_num36,7,,0.1,1.7
231,minimax_s7_num37,7,,0.1,2.5
232,minimax_s7_num38,7,,0.1,0.7
233,minimax_s7_num39,7,,0.1,0.2
234,minimax_s7_num4,7,,0.1,0.9
235,minimax_s7_num40,7,,0.1,5.1
236,minimax_s7_num41,7,,0.1,0.8
237,minimax_s7_num42,7,,0.1,4.6
238,minimax_s7_num43,7,,0.1,4.4
239,minimax_s7_num44,7,,0.1,0.9
240,minimax_s7_num45,7,,0.1,2.2
241,minimax_s7_num46,7,,0.1,0.8
242,minimax_s7_num47,7,,0.1,1.7
243,minimax_s7_num48,7,,0.1,1.0
244,minimax_s7_num49,7,,0.1,6.3
245,minimax_s7_num5,7,,0.1,0.4
246,minimax_s7_num50,7,,0.1,0.2
247,minimax_s7_num51,7,,0.1,3.2
248,minimax_s7_num52,7,,0.1,1.3
249,minimax_s7_num53,7,,0.1,1.0
250,minimax_s7_num54,7,,0.1,
251,minimax_s7_num55,7,,0.1,2.3
252,minimax_s7_num56,7,,0.1,0.3
253,minimax_s7_num57,7,,0.1,1.1
254,minimax_s7_num58,7,,0.1,1.7
255,minimax_s7_num59,7,,0.1,3.3
256,minimax_s7_num6,7,,,0.1
257,minimax_s7_num60,7,,0.1,1.1
258,minimax_s7_num61,7,,0.1,1.9
259,minimax_s7_num62,7,,0.1,1.6
260,minimax_s7_num63,7,,0.1,0.5
261,minimax_s7_num64,7,,0.1,0.5
262,minimax_s7_num65,7,,0.1,0.3
263,minimax_s7_num66,7,,0.1,0.5
264,minimax_s7_num67,7,,0.1,0.3
265,minimax_s7_num68,7,,0.1,2.2
266,minimax_s7_num69,7,,0.1,2.3
267,minimax_s7_num7,7,,0.1,8.7
268,minimax_s7_num70,7,,0.1,0.6
269,minimax_s7_num71,7,,0.1,2.0
270,minimax_s7_num72,7,,0.1,0.2
271,minimax_s7_num73,7,,0.1,
272,minimax_s7_num74,7,,0.1,2.7
273,minimax_s7_num75,7,,0.1,0.7
274,minimax_s7_num76,7,,0.1,8.2
275,minimax_s7_num77,7,,0.1,5.2
276,minimax_s7_num78,7,,0.1,0.9
277,minimax_s7_num79,7,,0.1,1.2
