instance,mazesize,sample,depth,terminated
minimax_s13_num0,13,0.1010003000000097,2,False
minimax_s13_num0,13,0.20044020000000273,3,False
minimax_s13_num0,13,0.3001793999999336,3,False
minimax_s13_num0,13,0.4004609999999502,3,False
minimax_s13_num0,13,0.5004619000000048,3,False
minimax_s13_num0,13,0.6004740999999285,3,False
minimax_s13_num0,13,0.7005154999999377,3,False
minimax_s13_num0,13,0.8004554999999982,3,False
minimax_s13_num0,13,0.9001729999999952,3,False
minimax_s13_num0,13,1.000460799999928,3,False
minimax_s13_num0,13,1.1004495999999335,3,False
minimax_s13_num0,13,1.2001933999999892,3,False
minimax_s13_num0,13,1.3004774999999427,3,False
minimax_s13_num0,13,1.4004514999999174,3,False
minimax_s13_num0,13,1.5001761999999417,3,False
minimax_s13_num0,13,1.6005040000000008,3,False
minimax_s13_num0,13,1.700454299999933,3,False
minimax_s13_num0,13,1.8001835999999685,3,False
minimax_s13_num0,13,1.900470299999938,3,False
minimax_s13_num0,13,2.0004698999999846,3,False
minimax_s13_num0,13,2.100173699999914,3,False
minimax_s13_num0,13,2.20047349999993,3,False
minimax_s13_num0,13,2.300434600000017,3,False
minimax_s13_num0,13,2.4001859999999624,3,False
minimax_s13_num0,13,2.5004372999999305,3,False
minimax_s13_num0,13,2.6004703999999492,3,False
minimax_s13_num0,13,2.700457099999994,3,False
minimax_s13_num0,13,2.800182800000016,3,False
minimax_s13_num0,13,2.9004759999999123,3,False
minimax_s13_num0,13,3.0004835999999386,3,False
minimax_s13_num0,13,3.1004562999999052,3,False
minimax_s13_num0,13,3.200176299999953,3,False
minimax_s13_num0,13,3.300475199999937,3,False
minimax_s13_num0,13,3.4004540999999335,3,False
minimax_s13_num0,13,3.50017349999996,3,False
minimax_s13_num0,13,3.6004605999999058,3,False
minimax_s13_num0,13,3.7004368999999997,3,False
minimax_s13_num0,13,3.8001786999999467,3,False
minimax_s13_num0,13,3.9004582999999684,3,False
minimax_s13_num0,13,4.0004632999999785,3,False
