,instance,mazesize,time_depth_1,time_depth_2,time_depth_3
139,minimax_s7_num44,7,,0.1,6.3
140,minimax_s7_num45,7,,0.1,23.8
141,minimax_s7_num46,7,,0.1,8.0
142,minimax_s7_num47,7,,0.1,11.3
143,minimax_s7_num48,7,,0.1,5.5
144,minimax_s7_num49,7,0.1,0.2,
145,minimax_s7_num5,7,,0.1,5.3
146,minimax_s7_num50,7,,0.1,1.4
147,minimax_s7_num51,7,,0.1,22.5
148,minimax_s7_num52,7,,0.1,6.8
149,minimax_s7_num53,7,,0.1,6.3
150,minimax_s7_num54,7,0.1,0.2,
151,minimax_s7_num55,7,,0.1,16.9
152,minimax_s7_num56,7,,0.1,1.5
153,minimax_s7_num57,7,,0.1,14.7
154,minimax_s7_num58,7,,0.1,8.7
155,minimax_s7_num59,7,,0.1,
156,minimax_s7_num6,7,,0.1,0.4
157,minimax_s7_num60,7,,0.1,12.6
158,minimax_s7_num61,7,,0.1,12.0
159,minimax_s7_num62,7,,0.1,10.4
160,minimax_s7_num63,7,,0.1,4.4
161,minimax_s7_num64,7,,0.1,3.6
162,minimax_s7_num65,7,,0.1,1.2
163,minimax_s7_num66,7,,0.1,3.9
164,minimax_s7_num67,7,,0.1,1.7
165,minimax_s7_num68,7,,0.1,13.9
166,minimax_s7_num69,7,,0.1,18.7
167,minimax_s7_num7,7,0.1,0.2,
168,minimax_s7_num70,7,,0.1,4.3
169,minimax_s7_num71,7,,0.1,17.9
170,minimax_s7_num72,7,,0.1,1.9
171,minimax_s7_num73,7,,0.1,
172,minimax_s7_num74,7,,0.1,24.9
173,minimax_s7_num75,7,,0.1,8.0
174,minimax_s7_num76,7,0.1,0.2,
175,minimax_s7_num77,7,,0.1,26.5
176,minimax_s7_num78,7,,0.1,5.2
177,minimax_s7_num79,7,,0.1,8.0
178,minimax_s7_num8,7,,0.1,2.4
179,minimax_s7_num80,7,,0.1,1.1
180,minimax_s7_num81,7,,0.1,9.9
181,minimax_s7_num82,7,,0.1,18.2
182,minimax_s7_num83,7,,0.1,8.2
183,minimax_s7_num84,7,,0.1,14.9
184,minimax_s7_num85,7,,0.1,25.8
185,minimax_s7_num86,7,0.1,0.2,
186,minimax_s7_num87,7,,0.1,15.9
187,minimax_s7_num88,7,,0.1,
188,minimax_s7_num89,7,,0.1,18.8
189,minimax_s7_num9,7,,0.1,21.6
190,minimax_s7_num90,7,,0.1,16.9
191,minimax_s7_num91,7,,0.1,1.5
192,minimax_s7_num92,7,,0.1,5.0
193,minimax_s7_num93,7,,0.1,18.7
194,minimax_s7_num94,7,,0.1,0.9
195,minimax_s7_num95,7,,0.1,8.9
196,minimax_s7_num96,7,,0.1,13.8
197,minimax_s7_num97,7,,0.1,3.4
198,minimax_s7_num98,7,,0.1,2.7
199,minimax_s7_num99,7,,0.1,2.6
