instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s7_d1_num10,0.00017430000002605084,0.000143900000011854,0.0001403000001118926,0.00013660000013260287,0.0001357000001007691,0.00013480000006893533,0.00013450000005832408,0.00013369999987844494,0.00013259999991532823,0.000133499999947162
exhsearch_s7_d1_num2,0.0002183000001423352,0.00018330000011701486,0.00017839999986790644,0.0001776999999947293,0.0001762000001690467,0.00017469999988861673,0.0001736000001528737,0.00035609999986263574,0.00033239999993384117,0.0002480000000559812
exhsearch_s7_d1_num3,0.00019310000016048434,0.0001672999999300373,0.00016039999991335208,0.0001589999999396241,0.00015720000010333024,0.00015830000006644696,0.00015729999995528487,0.00015650000000277942,0.000155500000118991,0.00015530000018770806
exhsearch_s7_d1_num4,0.00020140000015089754,0.00016819999996187107,0.0001614999998764688,0.00015870000015638652,0.00015919999987090705,0.0001584999999977299,0.00019449999990683864,0.00016210000012506498,0.0001589999999396241,0.0001578999999765074
exhsearch_s7_d1_num5,0.00022050000006856862,0.0001907000000755943,0.00018270000009579235,0.00017950000005839684,0.00017810000008466886,0.00020909999989271455,0.000186600000006365,0.00019670000006044575,0.00017849999994723476,0.00017699999989417847
exhsearch_s7_d1_num6,0.00020989999984522,0.00017709999997350678,0.0001715000000785949,0.00016879999998309358,0.00016699999991942605,0.00016589999995630933,0.00021289999995133257,0.00017370000000482833,0.00016909999999370484,0.00016660000005686015
exhsearch_s7_d1_num7,0.00022969999986344192,0.00018960000011247757,0.00018269999986841867,0.0002173000000311731,0.000181399999974019,0.0001804000000902306,0.0001756999999997788,0.00017389999993611127,0.0001746000000366621,0.0001746000000366621
exhsearch_s7_d1_num8,0.00016550000009374344,0.00013829999988956843,0.00013309999985722243,0.000130899999930989,0.00013029999990976648,0.00012930000002597808,0.0001303999999890948,0.00012999999989915523,0.00013009999997848354,0.00016510000000380387
exhsearch_s7_d1_num9,0.0002344000001812674,0.00018940000018119463,0.00018210000007456983,0.00017959999991035147,0.0001783000000159518,0.00017690000004222384,0.00017539999998916755,0.0001746000000366621,0.00017440000010537915,0.0001754999998411222
exhsearch_s7_d2_num1,0.0011334000000715605,0.0010358999998061336,0.001047400000061316,0.0010288999999374937,0.0010202000000845146,0.0010201000000051863,0.0010491000000456552,0.0010621000001265202,0.0010218999998414802,0.0010177999999996246
exhsearch_s7_d2_num10,0.0002458000001297478,0.0002021000000240747,0.00019310000016048434,0.00020930000005137117,0.00019610000003922323,0.0001859999999851425,0.0001855000000432483,0.00018519999980526336,0.0001850000001013541,0.000183999999990192
exhsearch_s7_d2_num2,0.0006851999999071268,0.0005896000000120694,0.0005861999998160172,0.0005826999999953841,0.000579099999868049,0.000603899999987334,0.0005883999999696243,0.0005823999999847729,0.0005995999999868218,0.0005891000000701752
exhsearch_s7_d2_num3,0.00120159999983116,0.0011180999999851338,0.001059000000168453,0.001047200000130033,0.0010804000000916858,0.0010541000001467182,0.0010463000000981992,0.0010687000001325941,0.0010712999999213935,0.0010778999999274674
exhsearch_s7_d2_num4,0.0009574999999131251,0.0009112000000186526,0.000967000000173357,0.000923999999940861,0.0008783999999195657,0.0009092000000237022,0.0008866000000580243,0.0008789999999407883,0.0008937999998579471,0.0008876000001691864
exhsearch_s7_d2_num5,0.0012655000000449945,0.0012028999999529333,0.0011471000000256026,0.0012074999999640568,0.00118039999983921,0.0011655999999220512,0.0011655000000700966,0.001162699999895267,0.0011848000001464243,0.001311400000076901
exhsearch_s7_d2_num6,0.0003036000000520289,0.0002704000000903761,0.0002581999999620166,0.0002566999999089603,0.0002542000001994893,0.00025329999994028185,0.0002526000000671047,0.0002516000001833163,0.0002510000001620938,0.0002518999999665539
exhsearch_s7_d2_num7,0.000720500000170432,0.0006817000000864937,0.000667400000111229,0.0006648999999470107,0.0006690999998681946,0.000662400000010166,0.0006626000001688226,0.0006905999998707557,0.0006734000000960805,0.0006846999999652326
exhsearch_s7_d2_num8,0.0004068000000643224,0.0003452000000834232,0.0003360999999131309,0.00033389999998689746,0.00033119999989139615,0.0003595000000586879,0.0003662999999960448,0.0003355999999712367,0.00035469999988890777,0.00034159999995608814
exhsearch_s7_d2_num9,0.000367999999980384,0.0003246999999646505,0.00031409999996867555,0.00031250000006366463,0.00031039999998938583,0.0003080999999838241,0.00030739999988327327,0.0003080999999838241,0.00032570000007581257,0.0003196000000116328
exhsearch_s7_d3_num1,0.0016255000000455766,0.001652500000091095,0.001644899999973859,0.001532099999849379,0.0015201000001070497,0.00151880000021265,0.001583600000003571,0.0015240000000176224,0.0015147999999953754,0.0015703000001394685
exhsearch_s7_d3_num10,0.009442000000035478,0.009296999999833133,0.009286900000006426,0.009316599999920072,0.009560500000134198,0.00909189999993032,0.00930049999988114,0.00926290000006702,0.009352900000067166,0.009269399999993766
exhsearch_s7_d3_num2,0.00233210000010331,0.002276000000165368,0.002248799999961193,0.002250000000003638,0.0022515000000566943,0.002238399999896501,0.002241300000150659,0.0023255999999491905,0.0023054000000684027,0.0022222999998575688
exhsearch_s7_d3_num3,0.002230199999985416,0.0022122000000308617,0.0022251000000323984,0.0022127999998247105,0.002186100000017177,0.00235049999992043,0.002269099999921309,0.0021904000000176893,0.002197400000113703,0.0021971000001030916
exhsearch_s7_d3_num4,0.001351500000055239,0.0013642999999774474,0.0013369999999213178,0.0013400000000274304,0.0015258999999332445,0.0013896000000386266,0.0013822999999320018,0.0013349000000744127,0.0014398000000710454,0.0013532000000395783
exhsearch_s7_d3_num5,0.011684600000080536,0.011476200000060999,0.011737200000197845,0.011646299999938492,0.011628800000153205,0.011658400000214897,0.011659100000088074,0.011759900000015477,0.01164969999990717,0.011412000000063927
exhsearch_s7_d3_num6,0.008642500000178188,0.008817099999987477,0.0086957999999413,0.008678199999849312,0.008573700000169993,0.008724699999902441,0.008583199999975477,0.00871000000006461,0.008616299999857802,0.008567900000116424
exhsearch_s7_d3_num7,0.0017554999999447318,0.0017101000000820932,0.0016931000000113272,0.0016626000001451757,0.0018536999998559622,0.0016788999998880172,0.001695000000154323,0.0017735000001266599,0.0016994999998587446,0.0016812999999729072
