instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s11_d1_num1,0.0005985000025248155,0.0004453000001376495,0.00036780000664293766,0.0003617999973357655,0.0003882000019075349,0.00036389999877428636,0.000382099999114871,0.00038700000004610047,0.0003708000003825873,0.00038530000165337697
exhsearch_s11_d1_num10,0.0004755000045406632,0.0004219999973429367,0.0003874000030918978,0.0004048999981023371,0.0004102000020793639,0.0003823000006377697,0.0004031999997096136,0.00038099999801488593,0.00040580000495538116,0.0003808999972534366
exhsearch_s11_d1_num2,0.00046379999548662454,0.00037689999589929357,0.0003947000004700385,0.00036589999945135787,0.0003902000025846064,0.0003682999958982691,0.000363799998012837,0.000389000000723172,0.00036530000215861946,0.00036869999894406646
exhsearch_s11_d1_num3,0.0005305999948177487,0.0003639999995357357,0.00034130000130971894,0.0003643000018200837,0.00033900000562425703,0.00033600000460864976,0.0003617999973357655,0.00037519999750657007,0.0004016999955638312,0.0003485999986878596
exhsearch_s11_d1_num4,0.00038810000114608556,0.00031060000037541613,0.0003085999996983446,0.00032610000198474154,0.0003097000007983297,0.00029940000240458176,0.0003252000024076551,0.0002995000031660311,0.0003040999945369549,0.0003212000010535121
exhsearch_s11_d1_num5,0.0003223000021534972,0.0002663999985088594,0.0003221000006305985,0.0002950999987660907,0.0002646000066306442,0.0002590999938547611,0.00028249999741092324,0.0002651000031619333,0.0002590000003692694,0.0002573000019765459
exhsearch_s11_d1_num6,0.00036779999936698005,0.00033570000232430175,0.00030020000122021884,0.0002961999998660758,0.000337799996486865,0.0002967999971588142,0.0002958000040962361,0.00032500000088475645,0.00030079999851295725,0.000298400002066046
exhsearch_s11_d1_num7,0.0004459999981918372,0.0004031999997096136,0.0003802999999606982,0.0003885000041918829,0.0003758000020752661,0.0003679000001284294,0.0003935000058845617,0.0003684999974211678,0.00036810000165132806,0.0003915999986929819
exhsearch_s11_d1_num8,0.0004044999950565398,0.0003466000052867457,0.00032649999775458127,0.00034890000097220764,0.0003215000033378601,0.00031940000189933926,0.00034440000308677554,0.0003206000037607737,0.0003189000053680502,0.0003432000012253411
exhsearch_s11_d1_num9,0.00044350000098347664,0.00037290000182110816,0.000395799994294066,0.0003662999952211976,0.00038979999953880906,0.00036589999945135787,0.0003637000045273453,0.00040529999387217686,0.00036529999488266185,0.000382099999114871
exhsearch_s11_d2_num1,0.008312099998875055,0.003965299998526461,0.003818400000454858,0.003821600002993364,0.003812699993432034,0.003808900000876747,0.0038398999968194403,0.0037752999996882863,0.00389809999614954,0.00385400000232039
exhsearch_s11_d2_num10,0.0005843000035383739,0.0005456999933812767,0.0005335000023478642,0.0005247000008239411,0.0005271999980323017,0.0005157999985385686,0.0006074999982956797,0.0005182999957469292,0.0005348999984562397,0.0005116000029374845
exhsearch_s11_d2_num2,0.005394300002080854,0.004180600000836421,0.004208599995763507,0.004111300004296936,0.004121999998460524,0.004127400003199,0.0041438999978709035,0.004096399999980349,0.004112599999643862,0.004099499994481448
exhsearch_s11_d2_num3,0.003438899999309797,0.00343359999533277,0.0034174999964307062,0.003452199998719152,0.003408000004128553,0.003441900000325404,0.0033994000041275285,0.0034195000043837354,0.003458799998043105,0.0034273999990546145
exhsearch_s11_d2_num4,0.0012920000008307397,0.0012128999951528385,0.001258200005395338,0.0012217000039527193,0.0012280000009923242,0.0012044999966747127,0.0012162999992142431,0.0012201999998069368,0.0012205999955767766,0.0012193000002298504
exhsearch_s11_d2_num5,0.00055929999507498,0.0005608999999822117,0.0005392000020947307,0.0005329000050551258,0.0004895000020042062,0.0004974000039510429,0.0004878999970969744,0.0004938999991281889,0.0004819000023417175,0.0005072000058135018
exhsearch_s11_d2_num6,0.0006729000015184283,0.0006095999997342005,0.0005971999999019317,0.0006020000000717118,0.0005836999989696778,0.0006053000033716671,0.0006229999999050051,0.0005901999975321814,0.0007218000027933158,0.0005950999984634109
exhsearch_s11_d2_num7,0.0024556999997003004,0.0024028999978327192,0.0024215000012191013,0.002431000000797212,0.002508600002329331,0.002414000002318062,0.002414199996565003,0.0024036999966483563,0.002381899997999426,0.0024044000019785017
exhsearch_s11_d2_num8,0.0006237999987206422,0.0005094999942230061,0.0005281999983708374,0.0004994999981136061,0.0005292999994708225,0.0005422999965958297,0.0005063999997219071,0.0005149999997229315,0.0005030999964219518,0.0005134999955771491
exhsearch_s11_d2_num9,0.0015256000042427331,0.0014604999960283749,0.0015244000023812987,0.0015073000031406991,0.001447100003133528,0.0014375000027939677,0.0014771999994991347,0.0014386000038939528,0.001463000000512693,0.0014687000002595596
